"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HR.Delta.iCH4.Std"	"HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Std"	"Delta.13CO2.Mean"	"Delta.13CO2.Std"	"HR.12CH4.Mean"	"HR.12CH4.Std"	"HR.13CH4.Mean"	"HR.13CH4.Std"	"HP.12CH4.Mean"	"HP.12CH4.Std"	"HP.13CH4.Mean"	"HP.13CH4.Std"	"X12CO2.Mean"	"X12CO2.Std"	"X13CO2.Mean"	"X13CO2.Std"	"H2O.Mean"	"H2O.Std"	"ChemDetect.Mean"	"SSIM.Pressure..torr."	"Valve.Position"	"Standard.Delta.iCH4"	"Standard.Delta.iCO2"	"Standard.13CH4"	"Standard.13CO2"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"Timestamp.cor"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"nominal.conc"	"nominal.delta"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"
"634"	13	1	"05/20/16 14:00:29"	1463767133.38123	-30.363	1.221	-27.21	0.88	-7.247	1.249	5.957	0.012	0.066	0	5.963	0.01	0.066	0	175.342	0.809	1.979	0.01	0.66	0.006	0	NA	NA	NA	NA	NA	NA	"14"	14	3	844	" mtotal=778.22. mtotal May=781.17. Pssim=844Torr."	"05/20/16"	"14:00:29"	1463767133.38123	6.029	6.023	177.321	NA	NA	1021.21	14	765.970490990067	7.34580082764524	0	-27.21
"635"	14	1	"05/20/16 14:11:39"	1463767803.31827	-31.316	1.475	-27.36	1.106	-6.552	1.679	5.817	0.011	0.064	0	5.822	0.01	0.064	0	172.266	0.798	1.948	0.01	0.724	0.006	0	NA	NA	NA	NA	NA	NA	"17"	17	3	843	" mtotal=892.68. mtotal May=894.31. Pssim=843Torr."	"05/20/16"	"14:11:39"	1463767803.31827	5.886	5.881	174.214	NA	NA	1021.21	14	765.970490990067	7.33709727216225	0	-27.36
"636"	15	1	"05/20/16 14:22:02"	1463768426.99079	-31.788	1.293	-27.02	0.845	-5.601	1.507	5.556	0.012	0.061	0	5.561	0.01	0.061	0	165.105	0.815	1.871	0.01	0.792	0.006	0	NA	NA	NA	NA	NA	NA	"17"	17	3	842	" mtotal=892.68. mtotal May=894.31. Pssim=842Torr."	"05/20/16"	"14:22:02"	1463768426.99079	5.622	5.617	166.976	NA	NA	1021.21	14	765.970490990067	7.32839371667926	0	-27.02
"637"	16	1	"05/20/16 14:33:07"	1463769091.74683	-33.329	1.089	-28.903	0.894	-5.547	1.301	5.877	0.011	0.065	0	5.88	0.01	0.065	0	168.156	0.822	1.906	0.01	0.797	0.006	0	NA	NA	NA	NA	NA	NA	"20"	20	3	843	" mtotal=830.48. mtotal May=833.10. Pssim=843Torr."	"05/20/16"	"14:33:07"	1463769091.74683	5.945	5.942	170.062	NA	NA	1021.21	14	765.970490990067	7.33709727216225	0	-28.903
"638"	17	1	"05/20/16 14:43:21"	1463769706.20105	-34.778	1.39	-28.562	0.966	-4.177	1.183	5.916	0.011	0.065	0	5.925	0.01	0.066	0	183.634	0.811	2.098	0.01	1.158	0.006	0	NA	NA	NA	NA	NA	NA	"20"	20	3	842	" mtotal=830.48. mtotal May=833.10. Pssim=842Torr."	"05/20/16"	"14:43:21"	1463769706.20105	5.991	5.981	185.732	NA	NA	1021.21	14	765.970490990067	7.32839371667926	0	-28.562
"639"	18	1	"05/20/16 14:56:06"	1463770470.32455	-34.061	1.426	-26.358	1.033	0.057	1.888	5.871	0.012	0.065	0	5.885	0.01	0.066	0	141.159	0.779	1.627	0.01	1.408	0.009	0	NA	NA	NA	NA	NA	NA	"23"	23	3	842	" mtotal=871.86. mtotal May=874.40. Pssim=842Torr."	"05/20/16"	"14:56:06"	1463770470.32455	5.951	5.936	142.786	NA	NA	1021.21	14	765.970490990067	7.32839371667926	0	-26.358
"640"	19	1	"05/20/16 15:06:47"	1463771112.2531	-33.917	1.176	-26.656	0.873	-0.668	1.933	5.833	0.013	0.065	0	5.852	0.01	0.065	0	140.125	0.814	1.616	0.01	1.475	0.01	0	NA	NA	NA	NA	NA	NA	"23"	23	3	842	" mtotal=871.86. mtotal May=874.40. Pssim=842Torr."	"05/20/16"	"15:06:47"	1463771112.2531	5.917	5.898	141.741	NA	NA	1021.21	14	765.970490990067	7.32839371667926	0	-26.656
"652"	31	1	"05/20/16 17:17:38"	1463778963.05842	-2.04	1.298	1.874	0.758	-15.11	4.043	6.238	0.013	0.07	0	6.233	0.013	0.07	0	48.374	0.723	0.536	0.009	0.108	0.004	0	NA	NA	NA	NA	NA	NA	"38"	38	1	839	" mtotal=762.58. mtotal May=764.48. Pssim=839 Torr."	"05/20/16"	"17:17:38"	1463778963.05842	6.303	6.308	48.91	NA	NA	1021.21	14	765.970490990067	21.9068491506908	0	1.874
"653"	32	1	"05/20/16 17:27:50"	1463779574.86439	-1.824	1.091	1.942	0.935	-16.955	4.419	6.08	0.014	0.068	0	6.076	0.012	0.068	0	49.057	0.759	0.543	0.008	0.098	0.004	0	NA	NA	NA	NA	NA	NA	"38"	38	1	838	" mtotal=762.58. mtotal May=764.48. Pssim=838 Torr."	"05/20/16"	"17:27:50"	1463779574.86439	6.144	6.148	49.6	NA	NA	1021.21	14	765.970490990067	21.8807384842419	0	1.942
"654"	33	1	"05/20/16 17:38:31"	1463780215.25167	-2.735	0.69	0.849	0.44	-17.848	5.96	11.526	0.021	0.129	0	11.517	0.021	0.13	0	46.703	0.73	0.516	0.009	0.087	0.004	0	NA	NA	NA	NA	NA	NA	"30"	30	1	839	" mtotal=494.79. mtotal May=498.30.  Pssim=839 Torr."	"05/20/16"	"17:38:31"	1463780215.25167	11.647	11.655	47.219	NA	NA	1021.21	14	765.970490990067	21.9068491506908	0	0.849
"655"	34	1	"05/20/16 17:48:38"	1463780822.42037	-2.827	0.796	0.558	0.497	-17.269	6.366	11.417	0.021	0.128	0	11.409	0.02	0.128	0	46.842	0.719	0.518	0.009	0.084	0.004	0	NA	NA	NA	NA	NA	NA	"30"	30	1	839	" mtotal=494.79. mtotal May=498.30.  Pssim=839 Torr."	"05/20/16"	"17:48:38"	1463780822.42037	11.537	11.545	47.36	NA	NA	1021.21	14	765.970490990067	21.9068491506908	0	0.558
"657"	36	1	"05/20/16 18:13:31"	1463782315.81392	-22.846	0.178	9999999	0	52.518	19.613	82.533	0.122	0.92	0.001	56.864	0	9999999	0	13.446	0.724	0.162	0.008	0.902	0.004	0	NA	NA	NA	NA	NA	NA	"39"	44	1	840	" mtotal=652.45. Pssim=840 Torr. NaOH killed."	"05/20/16"	"18:13:31"	1463782315.81392	10000055.864	83.453	13.608	NA	NA	1021.21	14	765.970490990067	21.9329598171398	0	9999999
"658"	37	1	"05/20/16 18:23:51"	1463782935.92498	-22.967	0.161	9999999	0	84.26	20.716	79.355	0.114	0.886	0.001	65.609	0	9999999	0	11.468	0.69	0.142	0.009	1.036	0.005	0	NA	NA	NA	NA	NA	NA	"39"	44	1	840	" mtotal=652.45. Pssim=840 Torr. NaOH killed."	"05/20/16"	"18:23:51"	1463782935.92498	10000064.609	80.241	11.61	NA	NA	1021.21	14	765.970490990067	21.9329598171398	0	9999999
"672"	9	1	"05/25/16 09:31:47"	1464183010.90806	-27.969	1.618	-25.714	1.061	-9.485	1.376	5.422	0.011	0.06	0	5.428	0.01	0.06	0	177.464	0.779	1.992	0.009	0.474	0.006	0	NA	NA	NA	NA	NA	NA	"8"	8	3	841	" mtotal=924.50. Pssim=841Torr."	"05/25/16"	"09:31:47"	1464183010.90806	5.488	5.482	179.456	NA	NA	1004.48	16	753.421959038496	7.44160241071524	0	-25.714
"673"	10	1	"05/25/16 09:42:22"	1464183646.55206	-28.696	1.339	-25.498	1.111	-8.8	1.364	5.456	0.011	0.06	0	5.466	0.01	0.06	0	180.299	0.767	2.033	0.009	0.704	0.007	0	NA	NA	NA	NA	NA	NA	"8"	8	3	841	" mtotal=924.50. Pssim=841Torr."	"05/25/16"	"09:42:22"	1464183646.55206	5.526	5.516	182.332	NA	NA	1004.48	16	753.421959038496	7.44160241071524	0	-25.498
"674"	11	1	"05/25/16 10:29:13"	1464186457.90848	-27.925	1.401	-23.595	0.911	-7.838	1.692	5.427	0.011	0.06	0	5.44	0.01	0.06	0	166.188	0.771	1.882	0.009	0.871	0.006	0	NA	NA	NA	NA	NA	NA	"11"	11	3	841	" mtotal=820.85. Pssim=841Torr. Vacuum 2.4 Torr."	"05/25/16"	"10:29:13"	1464186457.90848	5.5	5.487	168.07	NA	NA	1004.48	16	753.421959038496	7.44160241071524	0	-23.595
"675"	12	1	"05/25/16 10:39:33"	1464187076.99901	-28.018	1.574	-23.799	0.953	-7.885	1.805	5.475	0.012	0.061	0	5.493	0.01	0.061	0	161.013	0.769	1.826	0.009	0.955	0.007	0	NA	NA	NA	NA	NA	NA	"11"	11	3	840	" mtotal=820.85. Pssim=840Torr."	"05/25/16"	"10:39:33"	1464187076.99901	5.554	5.536	162.839	NA	NA	1004.48	16	753.421959038496	7.43275389417455	0	-23.799
"676"	13	1	"05/25/16 10:50:03"	1464187707.21323	-28.25	1.127	-24.026	0.892	-7.627	1.884	5.58	0.012	0.062	0	5.598	0.01	0.062	0	153.498	0.785	1.742	0.01	0.977	0.008	0	NA	NA	NA	NA	NA	NA	"14"	14	3	840	" mtotal=778.22. "	"05/25/16"	"10:50:03"	1464187707.21323	5.66	5.642	155.24	NA	NA	1004.48	16	753.421959038496	7.43275389417455	0	-24.026
"677"	14	1	"05/25/16 11:00:01"	1464188305.17225	-27.657	1.407	-23.833	0.898	-7.444	1.619	5.893	0.013	0.065	0	5.914	0.011	0.066	0	159.798	0.775	1.815	0.009	1.018	0.008	0	NA	NA	NA	NA	NA	NA	"14"	14	3	839	" mtotal=778.22. Pssim=839Torr."	"05/25/16"	"11:00:01"	1464188305.17225	5.98	5.958	161.613	NA	NA	1004.48	16	753.421959038496	7.42390537763387	0	-23.833
"678"	15	1	"05/25/16 11:11:06"	1464188970.37983	-28.801	1.327	-24.027	0.869	-7.61	1.609	5.239	0.012	0.058	0	5.26	0.01	0.058	0	152.802	0.786	1.737	0.01	1.07	0.008	0	NA	NA	NA	NA	NA	NA	"17"	17	3	839	" mtotal=892.68. Pssim=839Torr."	"05/25/16"	"11:11:06"	1464188970.37983	5.318	5.297	154.539	NA	NA	1004.48	16	753.421959038496	7.42390537763387	0	-24.027
"679"	16	1	"05/25/16 11:22:22"	1464189645.97837	-28.562	1.506	-24.185	1.205	-7.58	1.609	5.254	0.01	0.058	0	5.278	0.01	0.059	0	156.266	0.786	1.777	0.01	1.092	0.009	0	NA	NA	NA	NA	NA	NA	"17"	17	3	838	" mtotal=892.68. Pssim=838Torr."	"05/25/16"	"11:22:22"	1464189645.97837	5.337	5.312	158.043	NA	NA	1004.48	16	753.421959038496	7.41505686109318	0	-24.185
"680"	17	1	"05/25/16 11:33:54"	1464190338.88183	-30.715	1.159	-26.408	0.978	-7.348	1.397	5.509	0.013	0.061	0	5.533	0.01	0.061	0	156.615	0.764	1.783	0.01	1.132	0.009	0	NA	NA	NA	NA	NA	NA	"20"	20	3	838	" mtotal=830.48. "	"05/25/16"	"11:33:54"	1464190338.88183	5.594	5.57	158.398	NA	NA	1004.48	16	753.421959038496	7.41505686109318	0	-26.408
"681"	18	1	"05/25/16 11:44:17"	1464190961.88704	-30.896	1.443	-26.394	1.102	-6.752	1.242	5.525	0.011	0.061	0	5.552	0.01	0.062	0	158.605	0.778	1.81	0.009	1.231	0.011	0	NA	NA	NA	NA	NA	NA	"20"	20	3	838	" mtotal=830.48. Pssim=838Torr."	"05/25/16"	"11:44:17"	1464190961.88704	5.614	5.586	160.415	NA	NA	1004.48	16	753.421959038496	7.41505686109318	0	-26.394
"682"	19	1	"05/25/16 11:55:16"	1464191620.57678	-29.52	1.412	-24.456	0.851	-5.709	1.532	5.959	0.01	0.066	0	5.987	0.01	0.067	0	153.527	0.768	1.758	0.01	1.366	0.014	0	NA	NA	NA	NA	NA	NA	"23"	23	3	838	" mtotal=871.86. Pssim=838Torr."	"05/25/16"	"11:55:16"	1464191620.57678	6.054	6.025	155.285	NA	NA	1004.48	16	753.421959038496	7.41505686109318	0	-24.456
"683"	20	1	"05/25/16 12:06:14"	1464192278.4575	-29.232	1.603	-24.417	0.988	-6.821	1.845	5.492	0.012	0.061	0	5.517	0.01	0.061	0	138.929	0.793	1.584	0.01	1.199	0.011	0	NA	NA	NA	NA	NA	NA	"23"	23	3	837	" mtotal=871.86. Pssim=837Torr."	"05/25/16"	"12:06:14"	1464192278.4575	5.578	5.553	140.513	NA	NA	1004.48	16	753.421959038496	7.4062083445525	0	-24.417
"684"	21	1	"05/25/16 12:16:15"	1464192879.53361	-28.169	1.505	-24.152	1.18	-7.251	2.092	5.332	0.012	0.059	0	5.359	0.01	0.06	0	132.315	0.764	1.506	0.01	1.118	0.01	0	NA	NA	NA	NA	NA	NA	"23"	23	3	837	" mtotal=871.86. Pssim=837Torr."	"05/25/16"	"12:16:15"	1464192879.53361	5.419	5.391	133.821	NA	NA	1004.48	16	753.421959038496	7.4062083445525	0	-24.152
"697"	34	1	"05/25/16 14:54:34"	1464202378.83371	10.538	1.102	15.71	0.905	-14.457	5.208	6.031	0.015	0.069	0	6.03	0.015	0.069	0	48.622	0.66	0.54	0.008	0.167	0.005	0	NA	NA	NA	NA	NA	NA	"30"	30	1	827	" mtotal=494.79. Pssim=827 Torr."	"05/25/16"	"14:54:34"	1464202378.83371	6.099	6.1	49.162	NA	NA	1004.48	16	753.421959038496	21.953169537437	0	15.71
"698"	35	1	"05/25/16 15:05:02"	1464203006.66396	11.18	1.292	16.348	0.864	-17.051	4.256	5.962	0.017	0.068	0	5.961	0.014	0.068	0	49.509	0.666	0.548	0.008	0.154	0.005	0	NA	NA	NA	NA	NA	NA	"30"	30	1	828	" mtotal=494.79. Pssim=828 Torr."	"05/25/16"	"15:05:02"	1464203006.66396	6.029	6.03	50.057	NA	NA	1004.48	16	753.421959038496	21.979715087059	0	16.348
"701"	38	1	"05/25/16 15:41:44"	1464205208.74237	-22.377	0.151	9999999	0	19.192	19.302	81.184	0.157	0.903	0.002	52.519	0	9999999	0	11.649	0.643	0.135	0.007	0.766	0.006	0	NA	NA	NA	NA	NA	NA	"39"	44	1	826	" mtotal=652.45. Pssim=826 Torr. NaOH killed."	"05/25/16"	"15:41:44"	1464205208.74237	10000051.519	82.087	11.784	NA	NA	1004.48	16	753.421959038496	21.9266239878149	0	9999999
"702"	39	1	"05/25/16 15:53:14"	1464205898.76463	-22.421	0.137	9999999	0	12.278	22.863	80.216	0.155	0.891	0.002	51.78	0	9999999	0	10.515	0.624	0.121	0.008	0.711	0.007	0	NA	NA	NA	NA	NA	NA	"39"	44	1	826	" mtotal=652.45. Pssim=826 Torr. NaOH killed."	"05/25/16"	"15:53:14"	1464205898.76463	10000050.78	81.107	10.636	NA	NA	1004.48	16	753.421959038496	21.9266239878149	0	9999999
